S 6841ac,1 miss 
L 6841c0,8 miss 
L 6841a4,4 hit 
L 6841a0,4 hit 
L 6041a0,4 miss eviction 
L 6041a4,4 hit 
L 6041a8,4 hit 
L 6041ac,4 hit 
S 6441a0,4 miss eviction 
S 6442a0,4 miss 
S 6443a0,4 miss 
S 6444a0,4 miss 
L 6042a0,4 miss eviction 
L 6042a4,4 hit 
L 6042a8,4 hit 
L 6042ac,4 hit 
S 6441a4,4 hit 
S 6442a4,4 miss eviction 
S 6443a4,4 hit 
S 6444a4,4 hit 
L 6043a0,4 miss eviction 
L 6043a4,4 hit 
L 6043a8,4 hit 
L 6043ac,4 hit 
S 6441a8,4 hit 
S 6442a8,4 hit 
S 6443a8,4 miss eviction 
S 6444a8,4 hit 
L 6044a0,4 miss eviction 
L 6044a4,4 hit 
L 6044a8,4 hit 
L 6044ac,4 hit 
S 6441ac,4 hit 
S 6442ac,4 hit 
S 6443ac,4 hit 
S 6444ac,4 miss eviction 
L 6045a0,4 miss eviction 
L 6045a4,4 hit 
L 6045a8,4 hit 
L 6045ac,4 hit 
S 6441b0,4 miss eviction 
S 6442b0,4 hit 
S 6443b0,4 hit 
S 6444b0,4 hit 
L 6046a0,4 miss eviction 
L 6046a4,4 hit 
L 6046a8,4 hit 
L 6046ac,4 hit 
S 6441b4,4 hit 
S 6442b4,4 miss eviction 
S 6443b4,4 hit 
S 6444b4,4 hit 
L 6047a0,4 miss eviction 
L 6047a4,4 hit 
L 6047a8,4 hit 
L 6047ac,4 hit 
S 6441b8,4 hit 
S 6442b8,4 hit 
S 6443b8,4 miss eviction 
S 6444b8,4 hit 
L 6048a0,4 miss eviction 
L 6048a4,4 hit 
L 6048a8,4 hit 
L 6048ac,4 hit 
S 6441bc,4 hit 
S 6442bc,4 hit 
S 6443bc,4 hit 
S 6444bc,4 miss eviction 
L 6049a0,4 miss eviction 
L 6049a4,4 hit 
L 6049a8,4 hit 
L 6049ac,4 hit 
S 6441c0,4 miss eviction 
S 6442c0,4 miss 
S 6443c0,4 miss 
S 6444c0,4 miss 
L 604aa0,4 miss eviction 
L 604aa4,4 hit 
L 604aa8,4 hit 
L 604aac,4 hit 
S 6441c4,4 hit 
S 6442c4,4 hit 
S 6443c4,4 hit 
S 6444c4,4 hit 
L 604ba0,4 miss eviction 
L 604ba4,4 hit 
L 604ba8,4 hit 
L 604bac,4 hit 
S 6441c8,4 hit 
S 6442c8,4 hit 
S 6443c8,4 hit 
S 6444c8,4 hit 
L 604ca0,4 miss eviction 
L 604ca4,4 hit 
L 604ca8,4 hit 
L 604cac,4 hit 
S 6441cc,4 hit 
S 6442cc,4 hit 
S 6443cc,4 hit 
S 6444cc,4 hit 
L 604da0,4 miss eviction 
L 604da4,4 hit 
L 604da8,4 hit 
L 604dac,4 hit 
S 6441d0,4 hit 
S 6442d0,4 hit 
S 6443d0,4 hit 
S 6444d0,4 hit 
L 604ea0,4 miss eviction 
L 604ea4,4 hit 
